week	st	1st	2nd	3rd
1952	TUCU	JBAL	TERO	CATA
1953	TUCU	JBAL	TERO	CATA
1954	TUCU	JBAL	TERO	CATA
1955	TUCU	JBAL	TERO	CATA
1956	TUCU	JBAL	TERO	CATA
1957	TUCU	JBAL	TERO	CATA
1958	TUCU	JBAL	TERO	CATA
1959	TUCU	JBAL	TERO	CATA
1960	TUCU	JBAL	TERO	CATA
1961	TUCU	JBAL	TERO	CATA
1962	TUCU	JBAL	TERO	CATA
1963	TUCU	JBAL	TERO	CATA
1964	TUCU	JBAL	TERO	CATA
1965	TUCU	JBAL	TERO	CATA
1966	TUCU	JBAL	TERO	CATA
1967	TUCU	JBAL	TERO	CATA
1968	TUCU	JBAL	TERO	CATA
1969	TUCU	JBAL	TERO	CATA
1970	TUCU	JBAL	TERO	CATA
1971	TUCU	JBAL	TERO	CATA
1972	TUCU	JBAL	TERO	CATA
1640	UCOR	SL01	CATA	UNRO
1641	UCOR	SL01	CATA	UNRO
1642	UCOR	SL01	CATA	UNRO
1643	UCOR	SL01	CATA	UNRO
1644	UCOR	SL01	CATA	UNRO
1645	UCOR	SL01	CATA	UNRO
1646	UCOR	SL01	CATA	UNRO
1647	UCOR	SL01	CATA	UNRO
1648	UCOR	SL01	CATA	UNRO
1649	UCOR	SL01	CATA	UNRO
1650	UCOR	SL01	CATA	UNRO
1651	UCOR	SL01	CATA	UNRO
1652	UCOR	SL01	CATA	UNRO
1653	UCOR	SL01	CATA	UNRO
1654	UCOR	SL01	CATA	UNRO
1655	UCOR	SL01	CATA	UNRO
1656	UCOR	SL01	CATA	UNRO
1657	UCOR	SL01	CATA	UNRO
1658	UCOR	SL01	CATA	UNRO
1659	UCOR	SL01	CATA	UNRO
1660	UCOR	SL01	CATA	UNRO
1661	UCOR	SL01	CATA	UNRO
1662	UCOR	SL01	CATA	UNRO
1663	UCOR	SL01	CATA	UNRO
1664	UCOR	SL01	CATA	UNRO
1665	UCOR	SL01	CATA	UNRO
1666	UCOR	SL01	CATA	UNRO
1667	UCOR	SL01	CATA	UNRO
1668	UCOR	SL01	CATA	UNRO
1669	UCOR	SL01	CATA	UNRO
1670	UCOR	SL01	CATA	UNRO
1671	UCOR	SL01	CATA	UNRO
1672	UCOR	SL01	CATA	UNRO
1673	UCOR	SL01	CATA	UNRO
1674	UCOR	SL01	CATA	UNRO
1675	UCOR	SL01	CATA	UNRO
1676	UCOR	SL01	CATA	UNRO
1677	UCOR	SL01	PRNA	CATA
1678	UCOR	SL01	PRNA	CATA
1679	UCOR	SL01	PRNA	CATA
1680	UCOR	SL01	PRNA	CATA
1681	UCOR	SL01	PRNA	CATA
1682	UCOR	SL01	PRNA	CATA
1683	UCOR	SL01	PRNA	CATA
1684	UCOR	SL01	PRNA	CATA
1685	UCOR	SL01	PRNA	CATA
1686	UCOR	SL01	PRNA	CATA
1687	UCOR	SL01	CATA	UNRO
1688	UCOR	SL01	PRNA	CATA
1689	UCOR	SL01	PRNA	CATA
1690	UCOR	SL01	PRNA	CATA
1691	UCOR	SL01	PRNA	CATA
1692	UCOR	SL01	PRNA	CATA
1693	UCOR	SL01	PRNA	CATA
1694	UCOR	SL01	PRNA	CATA
1695	UCOR	SL01	PRNA	CATA
1696	UCOR	PRNA	CATA	UNRO
1697	UCOR	PRNA	CATA	UNRO
1698	UCOR	SL01	PRNA	CATA
1699	UCOR	SL01	PRNA	CATA
1700	UCOR	SL01	PRNA	CATA
1701	UCOR	SL01	PRNA	CATA
1702	UCOR	SL01	PRNA	CATA
1703	UCOR	SL01	PRNA	CATA
1704	UCOR	SL01	PRNA	CATA
1705	UCOR	SL01	PRNA	CATA
1706	UCOR	SL01	PRNA	CATA
1707	UCOR	SL01	PRNA	CATA
1708	UCOR	SL01	PRNA	CATA
1709	UCOR	SL01	PRNA	CATA
1710	UCOR	SL01	PRNA	CATA
1711	UCOR	SL01	PRNA	CATA
1712	UCOR	SL01	PRNA	CATA
1713	UCOR	SL01	PRNA	CATA
1714	UCOR	SL01	PRNA	CATA
1715	UCOR	SL01	PRNA	CATA
1716	UCOR	SL01	PRNA	CATA
1717	UCOR	SL01	PRNA	CATA
1718	UCOR	SL01	PRNA	CATA
1719	UCOR	SL01	PRNA	CATA
1720	UCOR	SL01	PRNA	CATA
1721	UCOR	PRNA	CATA	UNRO
1722	UCOR	PRNA	CATA	UNRO
1723	UCOR	PRNA	CATA	UNRO
1724	UCOR	SL01	PRNA	CATA
1725	UCOR	SL01	CATA	UNRO
1726	UCOR	SL01	CATA	UNRO
1727	UCOR	SL01	PRNA	CATA
1728	UCOR	SL01	PRNA	CATA
1729	UCOR	SL01	PRNA	CATA
1730	UCOR	SL01	PRNA	CATA
1731	UCOR	PRNA	CATA	UNRO
1732	UCOR	SL01	PRNA	CATA
1733	UCOR	SL01	PRNA	CATA
1734	UCOR	SL01	PRNA	CATA
1735	UCOR	SL01	PRNA	CATA
1736	UCOR	SL01	PRNA	CATA
1737	UCOR	SL01	PRNA	CATA
1738	UCOR	SL01	PRNA	CATA
1739	UCOR	SL01	PRNA	CATA
1740	UCOR	SL01	PRNA	CATA
1741	UCOR	SL01	PRNA	CATA
1742	UCOR	SL01	PRNA	CATA
1743	UCOR	SL01	PRNA	CATA
1744	UCOR	SL01	PRNA	CATA
1745	UCOR	SL01	PRNA	CATA
1746	UCOR	SL01	PRNA	CATA
1747	UCOR	SL01	PRNA	CATA
1748	UCOR	SL01	PRNA	CATA
1749	UCOR	SL01	PRNA	CATA
1750	UCOR	SL01	PRNA	CATA
1751	UCOR	SL01	PRNA	CATA
1752	UCOR	SL01	PRNA	CATA
1753	UCOR	SL01	PRNA	CATA
1754	UCOR	SL01	PRNA	CATA
1755	UCOR	SL01	PRNA	CATA
1756	UCOR	SL01	PRNA	CATA
1757	UCOR	SL01	PRNA	CATA
1758	UCOR	SL01	PRNA	CATA
1759	UCOR	SL01	PRNA	CATA
1760	UCOR	SL01	PRNA	CATA
1761	UCOR	SL01	CATA	UNRO
1762	UCOR	SL01	CATA	UNRO
1763	UCOR	SL01	CATA	UNRO
1764	UCOR	SL01	PRNA	CATA
1765	UCOR	SL01	PRNA	CATA
1766	UCOR	SL01	PRNA	CATA
1767	UCOR	SL01	PRNA	CATA
1769	UCOR	SL01	PRNA	CATA
1770	UCOR	SL01	PRNA	CATA
1771	UCOR	SL01	PRNA	CATA
1772	UCOR	SL01	PRNA	CATA
1773	UCOR	SL01	PRNA	CATA
1774	UCOR	SL01	PRNA	CATA
1775	UCOR	SL01	PRNA	CATA
1776	UCOR	SL01	PRNA	CATA
1777	UCOR	SL01	PRNA	CATA
1778	UCOR	SL01	PRNA	CATA
1779	UCOR	SL01	PRNA	CATA
1780	UCOR	SL01	PRNA	CATA
1781	UCOR	SL01	PRNA	CATA
1782	UCOR	SL01	PRNA	CATA
1783	UCOR	SL01	PRNA	CATA
1784	UCOR	SL01	PRNA	CATA
1785	UCOR	SL01	PRNA	CATA
1786	UCOR	SL01	PRNA	CATA
1787	UCOR	SL01	PRNA	CATA
1788	UCOR	SL01	PRNA	CATA
1789	UCOR	CORD	SL01	PRNA
1790	UCOR	CORD	SL01	PRNA
1791	UCOR	CORD	SL01	PRNA
1792	UCOR	CORD	SL01	PRNA
1793	UCOR	CORD	SL01	PRNA
1794	UCOR	CORD	SL01	PRNA
1795	UCOR	CORD	SL01	PRNA
1796	UCOR	CORD	SL01	PRNA
1797	UCOR	CORD	SL01	PRNA
1798	UCOR	CORD	SL01	PRNA
1799	UCOR	CORD	SL01	PRNA
1800	UCOR	CORD	SL01	PRNA
1801	UCOR	CORD	SL01	PRNA
1802	UCOR	CORD	SL01	PRNA
1803	UCOR	CORD	SL01	PRNA
1804	UCOR	CORD	SL01	PRNA
1805	UCOR	CORD	PRNA	CATA
1806	UCOR	CORD	SL01	PRNA
1807	UCOR	CORD	SL01	PRNA
1808	UCOR	CORD	SL01	PRNA
1809	UCOR	CORD	SL01	PRNA
1810	UCOR	CORD	SL01	PRNA
1811	UCOR	CORD	SL01	PRNA
1812	UCOR	CORD	SL01	PRNA
1813	UCOR	CORD	SL01	PRNA
1814	UCOR	CORD	SL01	PRNA
1815	UCOR	CORD	SL01	PRNA
1816	UCOR	CORD	SL01	PRNA
1817	UCOR	CORD	SL01	PRNA
1818	UCOR	CORD	SL01	PRNA
1819	UCOR	CORD	SL01	PRNA
1820	UCOR	SL01	PRNA	CATA
1821	UCOR	CORD	SL01	PRNA
1822	UCOR	CORD	SL01	PRNA
1823	UCOR	CORD	SL01	PRNA
1824	UCOR	CORD	SL01	PRNA
1825	UCOR	CORD	PRNA	CATA
1826	UCOR	CORD	PRNA	CATA
1827	UCOR	CORD	PRNA	CATA
1828	UCOR	CORD	PRNA	CATA
1830	UCOR	CORD	SL01	PRNA
1831	UCOR	CORD	SL01	PRNA
1832	UCOR	CORD	SL01	PRNA
1833	UCOR	CORD	SL01	PRNA
1834	UCOR	CORD	SL01	PRNA
1835	UCOR	CORD	SL01	PRNA
1836	UCOR	CORD	SL01	PRNA
1837	UCOR	CORD	SL01	PRNA
1838	UCOR	CORD	SL01	PRNA
1839	UCOR	CORD	SL01	PRNA
1840	UCOR	CORD	SL01	PRNA
1841	UCOR	CORD	SL01	PRNA
1842	UCOR	CORD	SL01	PRNA
1843	UCOR	CORD	SL01	PRNA
1844	UCOR	CORD	SL01	PRNA
1845	UCOR	CORD	SL01	PRNA
1846	UCOR	CORD	SL01	PRNA
1847	UCOR	CORD	SL01	PRNA
1848	UCOR	CORD	SL01	PRNA
1849	UCOR	CORD	SL01	PRNA
1850	UCOR	CORD	SL01	PRNA
1851	UCOR	CORD	SL01	PRNA
1852	UCOR	CORD	SL01	PRNA
1853	UCOR	CORD	SL01	PRNA
1854	UCOR	CORD	SL01	PRNA
1855	UCOR	CORD	SL01	PRNA
1856	UCOR	CORD	SL01	PRNA
1858	UCOR	CORD	SL01	PRNA
1859	UCOR	CORD	SL01	PRNA
1860	UCOR	CORD	SL01	PRNA
1861	UCOR	CORD	SL01	PRNA
1874	UCOR	CORD	SL01	PRNA
1875	UCOR	CORD	SL01	PRNA
1876	UCOR	CORD	SL01	PRNA
1877	UCOR	CORD	SL01	PRNA
1878	UCOR	CORD	SL01	PRNA
1880	UCOR	CORD	SL01	PRNA
1882	UCOR	CORD	SL01	PRNA
1883	UCOR	CORD	SL01	CATA
1884	UCOR	CORD	SL01	CATA
1885	UCOR	CORD	SL01	CATA
1886	UCOR	CORD	SL01	PRNA
1887	UCOR	CORD	SL01	PRNA
1888	UCOR	CORD	SL01	CATA
1890	UCOR	CORD	SL01	PRNA
1892	UCOR	CORD	SL01	PRNA
1893	UCOR	CORD	SL01	PRNA
1894	UCOR	CORD	SL01	PRNA
1895	UCOR	CORD	SL01	PRNA
1896	UCOR	CORD	SL01	CATA
1897	UCOR	CORD	CATA	UNRO
1898	UCOR	CORD	CATA	UNRO
1899	UCOR	CORD	CATA	UNRO
1900	UCOR	CORD	CATA	UNRO
1901	UCOR	CORD	SL01	CATA
1902	UCOR	CORD	SL01	CATA
1903	UCOR	CORD	SL01	CATA
1904	UCOR	CORD	SL01	PRNA
1905	UCOR	CORD	SL01	PRNA
1906	UCOR	CORD	SL01	PRNA
1907	UCOR	CORD	SL01	PRNA
1908	UCOR	CORD	SL01	PRNA
1909	UCOR	CORD	SL01	PRNA
1910	UCOR	CORD	SL01	PRNA
1911	UCOR	CORD	SL01	PRNA
1912	UCOR	CORD	SL01	PRNA
1913	UCOR	CORD	SL01	PRNA
1914	UCOR	CORD	SL01	PRNA
1915	UCOR	CORD	SL01	PRNA
1916	UCOR	CORD	SL01	PRNA
1917	UCOR	CORD	SL01	PRNA
1918	UCOR	CORD	SL01	PRNA
1919	UCOR	CORD	SL01	PRNA
1920	UCOR	CORD	SL01	PRNA
1921	UCOR	CORD	SL01	PRNA
1922	UCOR	CORD	SL01	PRNA
1923	UCOR	CORD	SL01	CATA
1924	UCOR	CORD	SL01	CATA
1925	UCOR	CORD	SL01	CATA
1926	UCOR	CORD	SL01	PRNA
1927	UCOR	CORD	SL01	PRNA
1928	UCOR	CORD	SL01	PRNA
1929	UCOR	CORD	SL01	PRNA
1930	UCOR	CORD	SL01	PRNA
1931	UCOR	CORD	SL01	PRNA
1932	UCOR	CORD	SL01	PRNA
1933	UCOR	CORD	SL01	PRNA
1934	UCOR	CORD	SL01	PRNA
1938	UCOR	CORD	PRNA	CATA
1939	UCOR	CORD	SL01	PRNA
1940	UCOR	CORD	SL01	PRNA
1941	UCOR	CORD	SL01	CATA
1942	UCOR	CORD	SL01	CATA
1943	UCOR	CORD	SL01	CATA
1944	UCOR	CORD	SL01	CATA
1945	UCOR	CORD	SL01	CATA
1946	UCOR	CORD	SL01	PRNA
1947	UCOR	CORD	SL01	PRNA
1948	UCOR	CORD	SL01	PRNA
1949	UCOR	CORD	SL01	CATA
1950	UCOR	CORD	SL01	CATA
1951	UCOR	CORD	SL01	CATA
1952	UCOR	CORD	SL01	CATA
1953	UCOR	CORD	SL01	CATA
1954	UCOR	CORD	SL01	CATA
1955	UCOR	CORD	SL01	CATA
1956	UCOR	CORD	SL01	CATA
1957	UCOR	CORD	SL01	CATA
1958	UCOR	CORD	SL01	CATA
1959	UCOR	CORD	SL01	CATA
1960	UCOR	CORD	SL01	CATA
1961	UCOR	CORD	SL01	CATA
1962	UCOR	CORD	SL01	CATA
1964	UCOR	CORD	SL01	PRNA
1965	UCOR	CORD	SL01	PRNA
1966	UCOR	CORD	SL01	PRNA
1967	UCOR	CORD	SL01	PRNA
1968	UCOR	CORD	SL01	PRNA
1969	UCOR	CORD	SL01	PRNA
1970	UCOR	CORD	SL01	PRNA
1971	UCOR	CORD	SL01	PRNA
1972	UCOR	CORD	SL01	PRNA
1677	UNPA	RIO2	AUTF	COYQ
1678	UNPA	RIO2	AUTF	COYQ
1679	UNPA	RIO2	AUTF	COYQ
1680	UNPA	RIO2	AUTF	COYQ
1681	UNPA	RIO2	AUTF	COYQ
1682	UNPA	RIO2	AUTF	RWSN
1683	UNPA	RIO2	AUTF	RWSN
1684	UNPA	RIO2	AUTF	RWSN
1685	UNPA	RIO2	AUTF	ESQU
1686	UNPA	RIO2	AUTF	RWSN
1687	UNPA	RIO2	AUTF	ESQU
1688	UNPA	RIO2	AUTF	RWSN
1689	UNPA	RIO2	AUTF	RWSN
1690	UNPA	RIO2	AUTF	RWSN
1691	UNPA	RIO2	AUTF	RWSN
1692	UNPA	RIO2	AUTF	RWSN
1693	UNPA	RIO2	AUTF	RWSN
1694	UNPA	RIO2	AUTF	RWSN
1695	UNPA	RIO2	AUTF	RWSN
1696	UNPA	RIO2	AUTF	RWSN
1697	UNPA	RIO2	AUTF	RWSN
1698	UNPA	RIO2	AUTF	RWSN
1699	UNPA	RIO2	AUTF	RWSN
1700	UNPA	RIO2	AUTF	RWSN
1701	UNPA	RIO2	AUTF	RWSN
1702	UNPA	RIO2	AUTF	RWSN
1703	UNPA	RIO2	AUTF	RWSN
1704	UNPA	RIO2	AUTF	RWSN
1705	UNPA	RIO2	AUTF	RWSN
1706	UNPA	RIO2	AUTF	RWSN
1707	UNPA	RIO2	AUTF	ESQU
1708	UNPA	RIO2	AUTF	ESQU
1709	UNPA	RIO2	AUTF	RWSN
1710	UNPA	RIO2	AUTF	NESA
1711	UNPA	RIO2	AUTF	NESA
1712	UNPA	RIO2	AUTF	NESA
1713	UNPA	RIO2	AUTF	NESA
1714	UNPA	RIO2	AUTF	NESA
1715	UNPA	RIO2	AUTF	NESA
1716	UNPA	RIO2	AUTF	NESA
1717	UNPA	RIO2	AUTF	NESA
1718	UNPA	RIO2	AUTF	NESA
1719	UNPA	RIO2	AUTF	NESA
1720	UNPA	RIO2	AUTF	NESA
1721	UNPA	RIO2	AUTF	NESA
1722	UNPA	RIO2	AUTF	ESQU
1723	UNPA	RIO2	AUTF	ESQU
1724	UNPA	RIO2	AUTF	ESQU
1725	UNPA	RIO2	AUTF	ESQU
1726	UNPA	RIO2	AUTF	ESQU
1727	UNPA	RIO2	AUTF	ESQU
1728	UNPA	RIO2	AUTF	ESQU
1729	UNPA	RIO2	AUTF	ESQU
1730	UNPA	RIO2	AUTF	ESQU
1731	UNPA	RIO2	AUTF	ESQU
1732	UNPA	RIO2	AUTF	ESQU
1733	UNPA	RIO2	AUTF	ESQU
1734	UNPA	RIO2	AUTF	ESQU
1735	UNPA	RIO2	AUTF	ESQU
1736	UNPA	RIO2	AUTF	ESQU
1737	UNPA	RIO2	AUTF	ESQU
1738	UNPA	RIO2	AUTF	ESQU
1739	UNPA	RIO2	AUTF	ESQU
1740	UNPA	RIO2	AUTF	ESQU
1741	UNPA	RIO2	AUTF	ESQU
1742	UNPA	RIO2	AUTF	ESQU
1743	UNPA	RIO2	AUTF	ESQU
1744	UNPA	RIO2	AUTF	ESQU
1745	UNPA	RIO2	AUTF	ESQU
1746	UNPA	RIO2	AUTF	ESQU
1747	UNPA	RIO2	AUTF	ESQU
1748	UNPA	RIO2	AUTF	ESQU
1749	UNPA	RIO2	AUTF	ESQU
1750	UNPA	RIO2	AUTF	ESQU
1751	UNPA	RIO2	AUTF	ESQU
1752	UNPA	RIO2	AUTF	ESQU
1753	UNPA	RIO2	AUTF	ESQU
1754	UNPA	RIO2	AUTF	ESQU
1755	UNPA	RIO2	AUTF	ESQU
1756	UNPA	RIO2	AUTF	ESQU
1757	UNPA	RIO2	AUTF	ESQU
1758	UNPA	RIO2	AUTF	ESQU
1759	UNPA	RIO2	AUTF	ESQU
1760	UNPA	RIO2	AUTF	ESQU
1761	UNPA	RIO2	AUTF	ESQU
1762	UNPA	RIO2	AUTF	ESQU
1763	UNPA	RIO2	AUTF	ESQU
1764	UNPA	RIO2	AUTF	ESQU
1765	UNPA	RIO2	AUTF	ESQU
1766	UNPA	RIO2	AUTF	ESQU
1767	UNPA	RIO2	AUTF	ESQU
1769	UNPA	RIO2	AUTF	ESQU
1770	UNPA	RIO2	AUTF	ESQU
1771	UNPA	RIO2	AUTF	ESQU
1777	UNPA	RIO2	AUTF	ESQU
1778	UNPA	RIO2	AUTF	ESQU
1779	UNPA	RIO2	AUTF	ESQU
1780	UNPA	RIO2	AUTF	ESQU
1781	UNPA	RIO2	AUTF	ESQU
1782	UNPA	RIO2	AUTF	ESQU
1783	UNPA	RIO2	AUTF	ESQU
1784	UNPA	RIO2	AUTF	ESQU
1785	UNPA	RIO2	AUTF	ESQU
1786	UNPA	RIO2	AUTF	ESQU
1787	UNPA	RIO2	AUTF	ESQU
1788	UNPA	RIO2	AUTF	ESQU
1789	UNPA	RIO2	AUTF	ESQU
1790	UNPA	RIO2	AUTF	ESQU
1791	UNPA	RIO2	AUTF	COYQ
1792	UNPA	RIO2	AUTF	COYQ
1793	UNPA	RIO2	AUTF	COYQ
1794	UNPA	RIO2	AUTF	COYQ
1795	UNPA	RIO2	AUTF	COYQ
1796	UNPA	RIO2	AUTF	COYQ
1797	UNPA	RIO2	AUTF	COYQ
1798	UNPA	RIO2	AUTF	COYQ
1799	UNPA	RIO2	AUTF	COYQ
1800	UNPA	RIO2	AUTF	COYQ
1801	UNPA	RIO2	AUTF	COYQ
1802	UNPA	RIO2	AUTF	COYQ
1803	UNPA	RIO2	AUTF	COYQ
1804	UNPA	RIO2	AUTF	COYQ
1805	UNPA	RIO2	AUTF	COYQ
1806	UNPA	RIO2	AUTF	COYQ
1807	UNPA	RIO2	AUTF	COYQ
1808	UNPA	RIO2	AUTF	COYQ
1809	UNPA	RIO2	AUTF	COYQ
1810	UNPA	RIO2	AUTF	COYQ
1811	UNPA	RIO2	AUTF	COYQ
1812	UNPA	RIO2	AUTF	COYQ
1813	UNPA	RIO2	AUTF	COYQ
1814	UNPA	RIO2	AUTF	COYQ
1815	UNPA	RIO2	AUTF	COYQ
1816	UNPA	RIO2	AUTF	COYQ
1817	UNPA	RIO2	AUTF	COYQ
1818	UNPA	RIO2	AUTF	COYQ
1819	UNPA	RIO2	AUTF	COYQ
1820	UNPA	RIO2	AUTF	COYQ
1821	UNPA	RIO2	AUTF	COYQ
1822	UNPA	RIO2	AUTF	COYQ
1823	UNPA	RIO2	AUTF	COYQ
1824	UNPA	RIO2	AUTF	COYQ
1825	UNPA	RIO2	AUTF	COYQ
1826	UNPA	RIO2	AUTF	COYQ
1827	UNPA	RIO2	AUTF	COYQ
1828	UNPA	RIO2	AUTF	COYQ
1830	UNPA	RIO2	AUTF	COYQ
1831	UNPA	RIO2	AUTF	COYQ
1832	UNPA	RIO2	AUTF	COYQ
1833	UNPA	RIO2	AUTF	COYQ
1834	UNPA	RIO2	AUTF	COYQ
1835	UNPA	RIO2	AUTF	COYQ
1836	UNPA	RIO2	AUTF	COYQ
1837	UNPA	RIO2	AUTF	COYQ
1838	UNPA	RIO2	AUTF	COYQ
1839	UNPA	RIO2	AUTF	COYQ
1840	UNPA	RIO2	AUTF	COYQ
1841	UNPA	RIO2	AUTF	COYQ
1842	UNPA	RIO2	AUTF	COYQ
1843	UNPA	RIO2	AUTF	COYQ
1844	UNPA	RIO2	AUTF	COYQ
1845	UNPA	RIO2	AUTF	COYQ
1846	UNPA	RIO2	AUTF	COYQ
1847	UNPA	RIO2	AUTF	COYQ
1848	UNPA	RIO2	AUTF	COYQ
1849	UNPA	RIO2	AUTF	COYQ
1850	UNPA	RIO2	AUTF	COYQ
1851	UNPA	RIO2	AUTF	COYQ
1852	UNPA	RIO2	AUTF	COYQ
1853	UNPA	RIO2	AUTF	COYQ
1854	UNPA	RIO2	AUTF	COYQ
1855	UNPA	RIO2	AUTF	COYQ
1856	UNPA	RIO2	AUTF	COYQ
1858	UNPA	RIO2	AUTF	COYQ
1859	UNPA	RIO2	AUTF	COYQ
1860	UNPA	RIO2	AUTF	COYQ
1861	UNPA	RIO2	AUTF	COYQ
1862	UNPA	RIO2	AUTF	COYQ
1863	UNPA	RIO2	AUTF	COYQ
1864	UNPA	RIO2	AUTF	COYQ
1865	UNPA	RIO2	AUTF	COYQ
1866	UNPA	RIO2	AUTF	COYQ
1867	UNPA	RIO2	AUTF	COYQ
1868	UNPA	RIO2	AUTF	COYQ
1869	UNPA	RIO2	AUTF	COYQ
1870	UNPA	RIO2	AUTF	COYQ
1871	UNPA	RIO2	AUTF	COYQ
1872	UNPA	RIO2	AUTF	COYQ
1873	UNPA	RIO2	AUTF	COYQ
1874	UNPA	RIO2	AUTF	COYQ
1882	UNPA	RIO2	AUTF	COYQ
1883	UNPA	RIO2	AUTF	COYQ
1884	UNPA	RIO2	AUTF	COYQ
1885	UNPA	RIO2	AUTF	COYQ
1886	UNPA	RIO2	AUTF	COYQ
1887	UNPA	RIO2	AUTF	COYQ
1888	UNPA	RIO2	AUTF	COYQ
1890	UNPA	RIO2	AUTF	COYQ
1891	UNPA	RIO2	AUTF	COYQ
1892	UNPA	RIO2	AUTF	COYQ
1893	UNPA	RIO2	AUTF	COYQ
1894	UNPA	RIO2	AUTF	COYQ
1895	UNPA	RIO2	AUTF	COYQ
1896	UNPA	RIO2	AUTF	COYQ
1897	UNPA	RIO2	AUTF	COYQ
1898	UNPA	RIO2	AUTF	COYQ
1899	UNPA	RIO2	AUTF	COYQ
1900	UNPA	RIO2	AUTF	COYQ
1902	UNPA	RIO2	AUTF	COYQ
1903	UNPA	RIO2	AUTF	COYQ
1904	UNPA	RIO2	AUTF	COYQ
1905	UNPA	RIO2	AUTF	COYQ
1906	UNPA	RIO2	AUTF	COYQ
1907	UNPA	RIO2	AUTF	COYQ
1908	UNPA	RIO2	AUTF	COYQ
1909	UNPA	RIO2	AUTF	COYQ
1910	UNPA	RIO2	AUTF	COYQ
1911	UNPA	RIO2	AUTF	COYQ
1912	UNPA	RIO2	AUTF	COYQ
1913	UNPA	RIO2	AUTF	COYQ
1914	UNPA	RIO2	AUTF	COYQ
1915	UNPA	RIO2	AUTF	COYQ
1916	UNPA	RIO2	AUTF	COYQ
1917	UNPA	RIO2	AUTF	COYQ
1918	UNPA	RIO2	AUTF	COYQ
1919	UNPA	RIO2	AUTF	COYQ
1920	UNPA	RIO2	AUTF	COYQ
1921	UNPA	RIO2	AUTF	COYQ
1922	UNPA	RIO2	AUTF	COYQ
1923	UNPA	RIO2	AUTF	COYQ
1924	UNPA	RIO2	AUTF	COYQ
1925	UNPA	RIO2	AUTF	COYQ
1926	UNPA	RIO2	AUTF	COYQ
1927	UNPA	RIO2	AUTF	COYQ
1928	UNPA	RIO2	AUTF	COYQ
1929	UNPA	RIO2	AUTF	COYQ
1930	UNPA	RIO2	AUTF	COYQ
1932	UNPA	RIO2	COYQ	RWSN
1933	UNPA	RIO2	COYQ	RWSN
1934	UNPA	RIO2	COYQ	RWSN
1935	UNPA	RIO2	COYQ	RWSN
1936	UNPA	RIO2	COYQ	RWSN
1937	UNPA	RIO2	COYQ	RWSN
1938	UNPA	RIO2	COYQ	RWSN
1939	UNPA	RIO2	COYQ	RWSN
1940	UNPA	RIO2	COYQ	RWSN
1941	UNPA	RIO2	AUTF	COYQ
1942	UNPA	RIO2	AUTF	COYQ
1943	UNPA	AUTF	COYQ	RWSN
1944	UNPA	RIO2	AUTF	COYQ
1945	UNPA	RIO2	AUTF	COYQ
1946	UNPA	RIO2	AUTF	RWSN
1947	UNPA	RIO2	AUTF	RWSN
1948	UNPA	RIO2	AUTF	RWSN
1949	UNPA	RIO2	AUTF	RWSN
1950	UNPA	RIO2	AUTF	RWSN
1951	UNPA	RIO2	AUTF	COYQ
1952	UNPA	RIO2	AUTF	COYQ
1953	UNPA	RIO2	AUTF	COYQ
1954	UNPA	RIO2	AUTF	COYQ
1955	UNPA	RIO2	AUTF	COYQ
1956	UNPA	RIO2	AUTF	COYQ
1957	UNPA	RIO2	AUTF	COYQ
1958	UNPA	RIO2	AUTF	COYQ
1959	UNPA	RIO2	AUTF	COYQ
1960	UNPA	RIO2	AUTF	COYQ
1961	UNPA	RIO2	AUTF	COYQ
1962	UNPA	RIO2	AUTF	COYQ
1963	UNPA	RIO2	AUTF	COYQ
1964	UNPA	RIO2	AUTF	COYQ
1965	UNPA	RIO2	AUTF	COYQ
1966	UNPA	RIO2	AUTF	COYQ
1968	UNPA	RIO2	COYQ	RWSN
1969	UNPA	RIO2	COYQ	RWSN
1970	UNPA	RIO2	COYQ	RWSN
1971	UNPA	RIO2	COYQ	RWSN
1972	UNPA	RIO2	COYQ	RWSN
1640	UNRO	UYSO	UYPA	IGM1
1641	UNRO	UYSO	UYPA	IGM1
1642	UNRO	UYSO	UYPA	IGM1
1643	UNRO	UYSO	UYPA	IGM1
1644	UNRO	UYSO	UYPA	IGM1
1645	UNRO	UYSO	UYPA	IGM1
1646	UNRO	UYSO	UYPA	IGM1
1647	UNRO	UYSO	UYPA	IGM1
1648	UNRO	UYSO	UYPA	IGM1
1649	UNRO	UYSO	UYPA	IGM1
1650	UNRO	UYSO	UYPA	IGM1
1651	UNRO	UYSO	UYPA	IGM1
1652	UNRO	UYSO	UYPA	IGM1
1653	UNRO	UYSO	UYPA	IGM1
1654	UNRO	UYSO	UYPA	IGM1
1655	UNRO	UYSO	UYPA	IGM1
1656	UNRO	UYSO	UYPA	IGM1
1657	UNRO	UYSO	UYPA	IGM1
1658	UNRO	UYSO	UYPA	IGM1
1659	UNRO	UYSO	UYPA	IGM1
1660	UNRO	UYSO	UYPA	IGM1
1661	UNRO	UYSO	UYPA	IGM1
1662	UNRO	UYSO	UYPA	IGM1
1663	UNRO	UYSO	UYPA	IGM1
1664	UNRO	UYSO	UYPA	IGM1
1665	UNRO	UYSO	UYPA	IGM1
1666	UNRO	UYSO	UYPA	IGM1
1667	UNRO	UYSO	UYPA	IGM1
1668	UNRO	UYSO	UYPA	IGM1
1669	UNRO	UYSO	UYPA	IGM1
